id,feature_type,name,latitude,longitude
249132373,hospital,"Paras Hospital, Gurgaon",28.4509689,77.0875533
266376018,road,Entry 12,28.4482482,77.0383288
266378530,school,Heritage International School,28.5084497,77.166546
266378545,school,Deep Public School,28.5117155,77.1634819
266535263,hospital,Max Hospital,28.462841,77.0759312
266585960,road,Shyam Chowk,28.4957101,77.0860672
266773900,road,Entry 8,28.448506,77.0388528
266773981,road,Exit 10,28.4475682,77.0380191
267125891,road,Entry 4,28.4933589,77.0844686
268432069,road,Entry 4,28.4932964,77.0842347
268905715,road,Entry 13,28.4556545,77.0453846
268905716,road,Exit 9,28.4547723,77.0447524
268905717,road,Exit 15,28.457069,77.0467425
268905721,road,Entry 7,28.456526,77.0464538
268905722,road,Exit 16,28.4654168,77.0547013
268919702,road,Exit 8,28.4617194,77.0514472
269101499,road,Exit,28.4489512,77.0389655
270624144,road,Unnamed road,28.4323274,77.0073195
271335768,school,Unnamed school,28.4896385,77.1384019
271373907,road,Unnamed road,28.5432203,77.1186293
273456822,road,Entry 6,28.4647531,77.0543743
277419932,road,Unnamed road,28.5805598,77.269647
278163583,road,Unnamed road,28.5732042,77.1383852
278166517,road,Entry 11,28.4391803,77.0126649
278166531,road,Unnamed road,28.439527,77.0131293
300138103,hospital,Prakash Hospital Pvt Ltd,28.5854878,77.3494026
312101676,school,"Delhi Public School, Primary Section",28.4295352,77.0525305
312101690,school,CR Model Public School,28.4463106,77.0458728
315999106,road,Unnamed road,28.5732369,77.305945
315999134,road,Unnamed road,28.5725485,77.3095342
316066140,road,Unnamed road,28.5706024,77.2080052
320917729,road,Unnamed road,28.4066425,76.9906131
335970186,school,Salvan Public School,28.4636101,77.0465147
345576017,road,Palam,28.5678347,77.134073
414735815,hospital,Pushpanjali Hospital,28.4508125,77.0328448
427851157,road,Unnamed road,28.7201587,77.2216547
427851350,road,Unnamed road,28.7378537,77.1631439
464964093,road,Sarita Vihar,28.5365216,77.2845972
482664044,school,Stones2milestones,28.4539934,77.0783203
549750152,road,Moti Bagh Flyover,28.5786023,77.1760284
563097440,road,AIIMS Flyover,28.5692697,77.207896
563097603,road,AIIMS Flyover,28.5702462,77.2098095
632050626,hospital,Base Hospital Delhi Cantt,28.6082403,77.1366732
